单词                  |音标                  |词性&词义               
assistant             |/əˈsɪstənt/           |< adj. > - 副的；辅助的 ;< n. > - 助手，助理，助教；【化】（用于染色的）助剂 ;
associate             |/əˈsoʊʃieɪt/          |< adj. > - 副的；共事的；有联系的 ;< vt. > - 联想；联合 ;< vi. > - 交往 ;< n. > - 准学士学位获得者 ;
association           |/əˌsoʊʃiˈeɪʃn/        |< n. > - 协会；社团；交往；联想；联合；结合 ;
assorted              |/əˈsɔːrtəd/           |< other nominal > - 动词assort的过去式和过去分词 ;< adj. > - 各种各样的；各色俱备的；配合的；适合的 ;
assume                |/əˈsuːm/              |< vt. > - 假定；设想；承担；(想当然的)认为；假装 ;
assumption            |/əˈsʌmpʃn/            |< n. > - 假定；设想；担任(职责等)；假装 ;
assure                |/əˈʃʊr/               |< vt. > - 使确信；使放心；确保 ;
asterisk              |/ˈæstərɪsk/           |< n. > - 星号(*) ;
astonish              |/əˈstɑːnɪʃ/           |< vt. > - 使惊讶；使吃惊 ;
astound               |/əˈstaʊnd/            |< v. > - 使惊骇；使大吃一惊 ;
astride               |/əˈstraɪd/            |< adv. > - 跨着；叉开 ;< prep. > - 骑；跨 ;
astronaut             |/ˈæstrənɔːt/          |< n. > - 宇航员 ;
astronomer            |/əˈstrɑːnəmər/        |< n. > - 天文学家 ;
athlete               |/ˈæθliːt/             |< n. > - 运动员 ;
Atlantic              |/ætˈlæntɪk/           |< adj. > - 大西洋的 ;< n. > - 大西洋 ;
atmosphere            |/ˈætməsfɪr/           |< n. > - 大气；空气；气氛；气压 ;
atmospheric           |/ˌætməsˈferɪk/        |< adj. > - 大气的；大气层的；制造气氛的 ;
atom                  |/ˈætəm/               |< n. > - 原子；微粒 ;
atomic                |/əˈtɑːmɪk/            |< adj. > - 原子的 ;
attach                |/əˈtætʃ/              |< v. > - 附上；系上；贴上；使依附；使附属；使附着 ;
attachment            |/əˈtætʃmənt/          |< n. > - [法律]扣押令 ;
attack                |/əˈtæk/               |< v. > - 攻击；抨击；发动攻击；（疾病）侵袭 ;< n. > - 攻击；抨击 ;
attain                |/əˈteɪn/              |< v. > - 实现；获得；达到 ;
attainment            |/əˈteɪnmənt/          |< other nominal > - （常复数）attainments:成就； 才能； 学识 ;< n. > - 达到；获得 ;
attempt               |/əˈtempt/             |< n. > - 企图；试图 ;< v. > - 企图；尝试 ;
attend                |/əˈtend/              |< v. > - 出席；参加；照料；注意；专心于 ;
attention             |/əˈtenʃn/             |< n. > - 注意；注意力；照料；留心；关怀；(口令)立正 ;
attentive             |/əˈtentɪv/            |< adj. > - 注意的；留意的 ;
attic                 |/ˈætɪk/               |< n. > - 阁楼 ;
attitude              |/ˈætɪtuːd/            |< n. > - 态度；看法；姿势 ;
attract               |/əˈtrækt/             |< v. > - 吸引；引来 ;
attraction            |/əˈtrækʃn/            |< n. > - 吸引；吸引力；有吸引力的人或事物 ;
attractive            |/əˈtræktɪv/           |< adj. > - 有吸引力的；有魅力的 ;
attribute             |/ˈætrɪbjuːt/          |< vt. > - 把  ;< n. > - 属性；标志；象征；特征 ;
audience              |/ˈɔːdiəns/            |< n. > - 听众；观众；读者；倾听；拥护者；正式会见 ;
august                |/ˈɔːɡəst/             |< other nominal > - August ;< adj. > - 威严的；尊贵的 ;< n. > - 八月 ;
aunt                  |/ænt/                 |< n. > - 伯母；姑；婶；姨 ;
aural                 |/ˈɔːrəl/              |< adj. > - 听觉的；耳的 ;
Australia             |/ɔ'streljə/           |< n. > - 澳大利亚 ;
Australian            |/ɔːˈstreɪliən/        |< adj. > - 澳大利亚的 ;< n. > - 澳大利亚人 ;
author                |/ˈɔːθər/              |< other nominal > - Author ;< vt. > - 编写；创作 ;< n. > - 上帝 ;
authority             |/əˈθɔːrəti/           |< n. > - 权力；官方；当局；职权；权威 ;
auto                  |/ˈɔːtoʊ/              |< v. > - 乘汽车 ;< pref. > - 自动的 ;< n. > - 汽车 ;
automatic             |/ˌɔːtəˈmætɪk/         |< adj. > - 自动的；无意识的；必然的 ;< n. > - 自动装置；半自动武器 ;
automatically         |/ˌɔːtəˈmætɪkli/       |< adv. > - 自动地；机械地 ;
automation            |/ˌɔːtəˈmeɪʃn/         |< n. > - 自动化 ;
automobile            |/ˈɔːtəməbiːl/         |< adj. > - 汽车的 ;< n. > - 汽车 ;
autumn                |/ˈɔːtəm/              |< n. > - 秋季；秋天 ;
auxiliary             |/ɔːɡˈzɪliəri/         |< adj. > - 辅助的；附加的 ;< n. > - 助动词；辅助物；帮助者 ;
available             |/əˈveɪləbl/           |< adj. > - 可利用的；可得到的；有空的；有效的；<贬>【政】有资格的，适合的 ;
avenue                |/ˈævənuː/             |< n. > - 林荫道；大街；途径手段 ;
average               |/ˈævərɪdʒ/            |< v. > - 取平均值；达到平均水平 ;< adj. > - 平均的；一般的；通常的 ;< n. > - 平均数；平均水平 ;
aviation              |/ˌeɪviˈeɪʃn/          |< n. > - 航空；飞机制造业 ;
avoid                 |/əˈvɔɪd/              |< vt. > - 避免；逃避；[律]使无效；撤销 ;
await                 |/əˈweɪt/              |< v. > - 等候；期待；将降临于 ;
awake                 |/əˈweɪk/              |< adj. > - 醒着的；警觉的 ;< v. > - 唤起；唤醒；醒来 ;
award                 |/əˈwɔːrd/             |< v. > - 授予；给予；判给 ;< n. > - 奖品；奖 ;
aware                 |/əˈwer/               |< adj. > - 知道的；意识到的 ;
away                  |/əˈweɪ/               |< adv. > - 离开；远离；在远处；一直；朝另一个方向；消失 ;< adj. > - 不在的；遥远的；[棒]出局的；客场的 ;
awe                   |/ɔː/                  |< vt. > - 使敬畏；使惊惧 ;< n. > - 敬畏；恐惧 ;
awful                 |/ˈɔːfl/               |< adv. > - 极其 ;< adj. > - 糟糕的；可怕的；充满敬畏的；难受的 ;
awfully               |/ˈɔːfli/              |< adv. > - 非常地；极端地；令人嫌恶地 ;
awkward               |/ˈɔːkwərd/            |< adj. > - 尴尬的；笨拙的；（设计）别扭的 ;
ax                    |/æks/                 |< vt. > - 用斧砍；<口>解雇；削减 ;< abbr. > - 轴线(=axis) ;< n. > - 斧子；解雇；(吉他等)乐器 ;
axis                  |/ˈæksɪs/              |< n. > - 轴；中枢 ;
baby                  |/ˈbeɪbi/              |< adj. > - 婴儿的；小型的 ;< vt. > - 溺爱 ;< n. > - 婴儿；宝贝儿；孩子气的人 ;
back                  |/bæk/                 |< adv. > - 向后地 ;< adj. > - 向后的；后面的；偏远的；过时的；积欠的 ;< vt. > - 支持；后退 ;< n. > - 后面；背脊；靠背；后背；后卫 ;
background            |/ˈbækɡraʊnd/          |< vt. > - 提供背景 ;< n. > - 背景；经历；幕后；后景 ;
backward              |/ˈbækwərd/            |< adv. > - 向后 ;< adj. > - 向后的；落后的 ;
backwater             |/ˈbækwɔːtər/          |< n. > - 回水；回水河汊；穷乡僻壤 ;
back-yard             |/'bækj'ɑːd/           |< n. > - 后院; 常去之地；附近地区 ;
bacteria              |/bækˈtɪriə/           |< n. > - (复数)细菌 ;
bad                   |/bæd/                 |< adv. > - 非常；不好地 ;< adj. > - 坏的；不好的；差的；疼痛的；严重的；有害的；腐败的；低劣的；不利的；不舒服的；不健康的 ;< n. > - 坏人；坏事 ;
badly                 |/ˈbædli/              |< adv. > - 差的；严重地；恶劣地；极度地 ;
badminton             |/ˈbædmɪntən/          |< n. > - 羽毛球 ;
bag                   |/bæɡ/                 |< vt. > - 把  ;< vi. > - （如袋子般）松垂 ;< n. > - 袋；袋状物；包；一袋的量 ;
baggage               |/ˈbæɡɪdʒ/             |< n. > - 行李 ;
bake                  |/beɪk/                |< v. > - 烤；烘焙；烘干；<非正式>灼热 ;
balance               |/ˈbæləns/             |< vt. > - 权衡；使平衡；抵消；称重量 ;< vi. > - 均衡；建立平衡 ;< n. > - 平衡；天平；平静；结余；差额；调和；制衡 ;
balcony               |/ˈbælkəni/            |< n. > - 阳台；楼座；包厢 ;
ball                  |/bɔːl/                |< v. > - 使成球状；呈球状；<俚>性交 ;< n. > - 球；球状物；炮弹；舞会；愉快的经历；<口>胆量；胡说；（复）睾丸 ;
balloon               |/bəˈluːn/             |< adj. > - 气球状的 ;< vt. > - 使膨胀 ;< vi. > - 乘气球飞行；激增；如气球般膨胀 ;< n. > - 气球；球状物 ;
banana                |/bəˈnænə/             |< n. > - 香蕉 ;
band                  |/bænd/                |< v. > - 联合；结合 ;< n. > - 带；箍；波段 ;
bang                  |/bæŋ/                 |< adv. > - 正好地；准确地 ;< v. > - 重击；大声敲；剪成刘海；突然巨响 ;< n. > - 巨响；重击；刘海 ;
bank                  |/bæŋk/                |< v. > - 把钱存入银行；开户；筑堤防护；堆积 ;< n. > - 银行；岸；筹码；库；田埂；堤；积云；一系列；一组；一排；一团；用于循环再利用的废旧物品回收站 ;
banner                |/ˈbænər/              |< adj. > - 杰出的；特别好的 ;< vt. > - 用横幅装饰；以大标题报道 ;< n. > - 横幅；旗帜；大标题 ;
bar                   |/bɑːr/                |< vt. > - 禁止；阻挠；闩上；在  ;< n. > - 酒吧；条；横木；栅 ;
barber                |/ˈbɑːrbər/            |< vt. > - 给…理发；修剪 ;< vi. > - 当理发师 ;< n. > - 理发师 ;
bare                  |/ber/                 |< adj. > - 赤裸的；空的；仅有的；贫瘠的，荒芜的 ;< vt. > - 使裸露；暴露 ;
barely                |/ˈberli/              |< adv. > - 几乎不；刚刚；勉强；少量地 ;
bargain               |/ˈbɑːrɡən/            |< v. > - 讨价还价；议价；(谈价钱后)卖 ;< n. > - 交易；便宜货；契约 ;
bark                  |/bɑːrk/               |< n. > - 树皮 ;< v. > - 剥皮；擦伤 ;
barn                  |/bɑːrn/               |< n. > - 谷仓；牲口棚；车库；大而空荡的农屋 ;
barrel                |/ˈbærəl/              |< vt. > - 把  ;< vi. > - 快速移动 ;< n. > - 桶；枪管；一桶的量；炮管；大量；笔管；汽油桶 ;
barrier               |/ˈbæriər/             |< n. > - 栅栏；障碍物；屏障 ;
base                  |/beɪs/                |< adj. > - 卑鄙的；不道德的 ;< vt. > - 以  ;< n. > - 底部；基地；基础；基数；基线；(棒球)垒；[化]碱 ;
basement              |/ˈbeɪsmənt/           |< n. > - 根基；地下室 ;
basic                 |/ˈbeɪsɪk/             |< adj. > - 基本的；基础的；初级的；含硅少的 ;< n. > - 基础；根本；[计]BASIC语言 ;
basically             |/ˈbeɪsɪkli/           |< adv. > - 基本上；主要地 ;
basin                 |/ˈbeɪsn/              |< n. > - 脸盆；盆地；流域；水池 ;
basis                 |/ˈbeɪsɪs/             |< n. > - 基础；根据；基底 ;
basket                |/ˈbæskɪt/             |< n. > - 篮；篓；筐；[篮]球篮；投篮得分 ;
basketball            |/ˈbæskɪtbɔːl/         |< n. > - 篮球 ;
bat                   |/bæt/                 |< v. > - 眨眼睛 ;< n. > - 蝙蝠 ;
bath                  |/bæθ/                 |< other nominal > - Bath ;< v. > - 洗澡 ;< n. > - 巴斯(英国城市) ;
bathe                 |/beɪð/                |< v. > - 沐浴；用水洗；沉浸 ;
bathroom              |/ˈbæθruːm/            |< n. > - 浴室；<美>洗手间 ;
battered              |/ˈbætərd/             |< adj. > - 撞坏的；打垮的；磨损的；憔悴的 ;< v. > - 猛击；打坏；往后递倾（动词batter的过去式和过去分词） ;
battery               |/ˈbætəri/             |< n. > - 电池；一系列；炮兵连；排炮；[律]殴打 ;
battle                |/ˈbætl/               |< v. > - 与  ;< n. > - 战斗；争斗 ;
bay                   |/beɪ/                 |< adj. > - 红棕色 ;< vi. > - 嗥叫；哀号 ;< n. > - 海湾；月桂树；隔间；犬吠；【计】机架，底板 ;
beach                 |/biːtʃ/               |< vt. > - 拖(船)上岸 ;< n. > - 海滩；海滨；沙滩 ;
beam                  |/biːm/                |< vt. > - 播送；发射；用梁支撑 ;< vi. > - 微笑；发光 ;< n. > - 桁条；光线；(光线的)束；(横)梁 ;
bean                  |/biːn/                |< n. > - 豆；豆科植物 ;
bear                  |/ber/                 |< v. > - 忍受；负荷；结果；证实；生子女 ;< n. > - 熊 ;
beard                 |/bɪrd/                |< vt. > - 公开反对；抓住胡须 ;< n. > - 胡须 ;
bearing               |/ˈberɪŋ/              |< n. > - 轴承；举止；忍受；支撑物；影响 ;
beast                 |/biːst/               |< n. > - 兽；畜牲 ;
beat                  |/biːt/                |< n. > - 拍子；敲打；心跳声 ;< adj. > - 精疲力尽的 ;< v. > - 打；打败；跳动；敲打；战胜 ;
